type,Price(EGP),listing type,rent period,location,Area(m2),bedrooms,Bathrooms,Down payment,Instalment,post link,Full Descrption
Twin House,"10,000,000",buy,N/A,"Palm hills golf extension Compound, 6th of October, Giza",350,4,3,N/A,N/A,https://www.bayut.eg/en/property/details-503221886.html,Ready to move twin house on the golf in palm hills El Sheikh Zayed
Villa,"12,500,000",buy,N/A,"The Estates Compound, Sheikh Zayed, Giza",353,5,5,N/A,N/A,https://www.bayut.eg/en/property/details-502602393.html,Luvury Villa Standalone For sale Ready to move in THE ESTATES Sodic
Apartment,"6,000,000",buy,N/A,"El Masrawia Compound, 1st Settlement, New Cairo, Cairo",150,3,3,N/A,N/A,https://www.bayut.eg/en/property/details-503425065.html,Ground Floor Garden Apartment in Al Masraweya Prime Deal
Apartment,"15,000,000",buy,N/A,"Alma Compound, Sheikh Zayed, Giza",245,3,4,N/A,N/A,https://www.bayut.eg/en/property/details-503425019.html,family house with a large garden for sale in a prime location in sheikh zayed
Apartment,"6,000,000",buy,N/A,"Beverly Hills Compound, Sheikh Zayed, Giza",180,3,3,N/A,N/A,https://www.bayut.eg/en/property/details-503424237.html,Luxury apartment with garden in Allegria Residence in Beverly Hills minuties from Arkan Plaza
Chalet,"5,976,456",buy,N/A,"Fouka Bay, North Coast, Matruh",120,3,2,N/A,N/A,https://www.bayut.eg/en/property/details-503422367.html,"Fully finished chalet for sale with a sea view in the North Coast at Fouka Bay, Ras El Hekma"
Chalet,"9,000,000",buy,N/A,"Marina 6, Alamein, North Coast, Matruh",165,4,2,N/A,N/A,https://www.bayut.eg/en/property/details-503422335.html,"An opportunity chalet, 165 sqm for sale in Marina 6 North Coast"
Twin House,"15,000,000",buy,N/A,"Pyramids Walk Compound, 6th of October, Giza",409,4,5,N/A,N/A,https://www.bayut.eg/en/property/details-503426551.html,"Villa for sale, ready for immediate sale, 409 meters, panoramic view, with private swimming pool, walled compound, near Palm Hills, Sheikh Zayed."
Townhouse,"15,000,000",buy,N/A,"Hyde Park New Cairo Compound, 5th Settlement, New Cairo, Cairo",300,5,5,N/A,N/A,https://www.bayut.eg/en/property/details-503426533.html,"Receive your 300m² villa with panoramic views overlooking the landscape, located next to Mivida, AUC, and La Vista City in Hyde Park, New Cairo."
Villa,"15,000,000",buy,N/A,"Mountain View 1.1, 5th Settlement, New Cairo, Cairo",285,4,5,N/A,N/A,https://www.bayut.eg/en/property/details-503426500.html,"Receive immediately a fully finished 3-story panoramic villa with private pool in Mountain View New Cairo next to AUC,Al Rehab and Point 90 Mall"
Chalet,"21,313,336",buy,N/A,"Silver Sands, North Coast, Matruh",223,3,4,"EGP 19,500,000","EGP 50,000 monthly / 3 years",https://www.bayut.eg/en/property/details-503426349.html,Ready to move prime location Fully Finished with Ac's & kitchen cabinets Upper Chalet for sale in Silver sands Ora North coast
Villa,"40,000,000",buy,N/A,"Palm Hills, Alexandria",512,7,9,N/A,N/A,https://www.bayut.eg/en/property/details-503426248.html,Vila Stand Alwan V1 for sale 512 m (Palm Hills Alexandria) - sea view
Townhouse,"15,000,000",buy,N/A,"Fouka Bay, North Coast, Matruh",140,3,3,N/A,N/A,https://www.bayut.eg/en/property/details-503425557.html,"Under market price Townhouse 140 m fully finished for sale, ready to move, Direct pool view bahry very prime location in Fouka Bay"
Apartment,"7,635,000",buy,N/A,"Zed East Compound, 6th Settlement, New Cairo, Cairo",104,2,2,"EGP 6,800,000","EGP 30,000 monthly / 2 years",https://www.bayut.eg/en/property/details-503425431.html,Under market price ready to move Fully Finished+ ACs & Kitchen Cabinets 2 bedrooms ground apartment with garden for sale in Zed east compound Ora
Penthouse,"7,920,000",buy,N/A,"The Icon Residence Compound, 5th Settlement, New Cairo, Cairo",246,4,3,"EGP 2,000,000",N/A,https://www.bayut.eg/en/property/details-503425217.html,The best penthouse layout in The Icon Gardens compound at the best price on the market with a 40% discount.
Chalet,"7,421,000",buy,N/A,"Mountain View Ras Al Hekma, Ras Al Hekma, North Coast, Matruh",92,2,2,"EGP 7,000,000",N/A,https://www.bayut.eg/en/property/details-503425216.html,"Resail | Lowest price for a two-bedroom ground chalet in Mountain View Ras Al-Hikma Scala Heights phase, delivery in a year | Premium location, sea view, and directly on a swimming pool."
Apartment,"8,000,000",buy,N/A,"Mountain View iCity Compound, 6th of October, Giza",169,3,3,"EGP 400,000","EGP 17,000 monthly / 10 years",https://www.bayut.eg/en/property/details-503425104.html,zero% downpayment 3 bedrooms fully finished FOR SALE IN I CITY 6 OCTOBER MOUNTAIN VIEW OVER 10 YRS
Apartment,"17,000,000",buy,N/A,"Sawari, Moharam Bik, Alexandria",284,4,4,"EGP 15,000,000","EGP 101,666 monthly / 2 years",https://www.bayut.eg/en/property/details-503424856.html,Apartment for sale 284 m (Sawari Seif 6 Towers) - High floor with a distinctive view of Sawari Club
Villa,"7,000,000",buy,N/A,"El Patio Zahraa Compound, Sheikh Zayed, Giza",215,4,4,N/A,N/A,https://www.bayut.eg/en/property/details-503424821.html,Villa ready to move in patio Alzahraa next Alrabwa
Villa,"19,500,000",buy,N/A,"Beverly Hills Compound, Sheikh Zayed, Giza",180,4,3,"EGP 975,000",N/A,https://www.bayut.eg/en/property/details-503424575.html,villa for sale in beavrly hiils sheikh zayed installments up to 10 years
Apartment,"6,550,000",buy,N/A,"Allegria, Sheikh Zayed, Giza",200,3,3,N/A,N/A,https://www.bayut.eg/en/property/details-503424527.html,"For sale, a finished apartment ready for immediate delivery in Iligyria by Sodic."
Apartment,"9,382,500",buy,N/A,"Sawari, Moharam Bik, Alexandria",139,3,2,"EGP 1,042,500","EGP 121,625 monthly / 5 years",https://www.bayut.eg/en/property/details-503424487.html,Apartment for sale 139 m (Sawari Saudi Egyptian)
Apartment,"8,694,000",buy,N/A,"Sawari, Moharam Bik, Alexandria",126,3,2,"EGP 869,400","EGP 101,430 monthly / 5 years",https://www.bayut.eg/en/property/details-503424422.html,Apartment for sale 126 m (Sawari Diva) landscape view
Villa,"32,180,928",buy,N/A,"Mazarine, Alamein, North Coast, Matruh",340,4,4,"EGP 4,200,000","EGP 86,756 monthly / 11 years",https://www.bayut.eg/en/property/details-503423273.html,Villa Corner for sale (Mazarin - New Alamein) 340 m - landscape view and swimming pool
Villa,"22,000,000",buy,N/A,"Palm hills golf extension Compound, 6th of October, Giza",299,4,5,N/A,N/A,https://www.bayut.eg/en/property/details-503422551.html,twin house middel fully finished for sale in wood villa - palm hills
Apartment,"1,815,000",buy,N/A,"Hadayek al-Ahram, Giza",110,3,2,N/A,N/A,https://www.bayut.eg/en/property/details-503422381.html,110 square meter side apartment equal to 125 square meters in Gardens of Al-Ahram - Gate Four - Area L
Twin House,"12,676,000",buy,N/A,"Al Burouj, Shorouk City, Cairo",315,3,5,N/A,N/A,https://www.bayut.eg/en/property/details-503289731.html,Resale TwinHouse Corner for Sale in a strategic location at Burouj Compound El Shorouk directly in front of the International Medical Center.
Apartment,"7,700,000",buy,N/A,"Rehab City, New Cairo, Cairo",108,3,2,N/A,N/A,https://www.bayut.eg/en/property/details-503230716.html,"For Sale in Al Rehab City, Phase 2, in a very prime location. A unique location combining services and tranquility, next to the Rehab 1 services area."
Townhouse,"8,600,000",buy,N/A,"Elora Compound, Sheikh Zayed, Giza",175,3,3,N/A,N/A,https://www.bayut.eg/en/property/details-503008058.html,Townhouse with Private Pool for Sale in ELORA – Next to SODIC & SOLANA
Chalet,"9,920,900",buy,N/A,"IL Monte Galala, Ain Sukhna, Suez",60,N/A,1,"EGP 496,045","EGP 196,568 monthly / 10 years",https://www.bayut.eg/en/property/details-503426774.html,MARINA TOWERS | 60 STUDIO | THE RED SEA’S NEW GLOBAL DESTINATION
Chalet,"14,000,000",buy,N/A,"Mesca, Soma Bay, Red Sea",128,3,3,0% Down Payment,"EGP 58,000 monthly / 8 years",https://www.bayut.eg/en/property/details-503426446.html,DOUBLE VIEW CHALET WITH LOWEST PRICE IN SOMABAY UP TO 8Y
Townhouse,"34,000,000",buy,N/A,"Mivida Compound, 5th Settlement, New Cairo, Cairo",221,4,4,N/A,N/A,https://www.bayut.eg/en/property/details-503425947.html,Very elite 4 bedrooms town house for sale in Mivida compound Emaar fifth settlement new cairo
Townhouse,"16,440,000",buy,N/A,"Mountain View Chillout Park Compound, 6th of October, Giza",205,4,4,"EGP 15,000,000",N/A,https://www.bayut.eg/en/property/details-503425687.html,Townhouse for Sale – With Flexible Payment Plans
Apartment,"14,570,000",buy,N/A,"Fifth Square Compound, 5th Settlement, New Cairo, Cairo",172,3,3,"EGP 11,500,000",N/A,https://www.bayut.eg/en/property/details-503425556.html,Apartment with Garden for Sale in Fifth Square | 172 SQM | 3BR | Installments
Apartment,"7,350,000",buy,N/A,"Smoha, Alexandria",185,3,2,N/A,N/A,https://www.bayut.eg/en/property/details-503425553.html,"Distinctive apartment for sale in Smouha - Mustafa Kamel st, walking distance to Smouha Club"
Villa,"30,000,000",buy,N/A,"Rehab City, New Cairo, Cairo",560,4,4,N/A,N/A,https://www.bayut.eg/en/property/details-503425163.html,Villa for sale in Al Rehab City
Villa,"20,520,000",buy,N/A,"Hyde Park New Cairo Compound, 5th Settlement, New Cairo, Cairo",195,3,3,N/A,N/A,https://www.bayut.eg/en/property/details-503425090.html,With a Prime View Luxury Villa for Sale in Hyde Park -New Cairo
Chalet,"19,000,000",buy,N/A,"Silver Sands, North Coast, Matruh",170,2,3,"EGP 950,000","EGP 200,000 monthly / 10 years",https://www.bayut.eg/en/property/details-503425058.html,SEAVIEW CHALET WITH 5% DOWN PAYMENT LIMITED TIME OFFER
Apartment,"2,700,000",buy,N/A,"New October, 6th of October, Giza",127,3,2,"EGP 270,000","EGP 25,000 monthly / 10 years",https://www.bayut.eg/en/property/details-503424999.html,Apartment 127 spm 3 rooms in Fiori new october down payment 10% and installment for 10 years +delivery in to years
Villa,"35,000,000",buy,N/A,"Madinaty, Cairo",580,3,3,N/A,N/A,https://www.bayut.eg/en/property/details-503424985.html,"Standalone villa for sale in Madinaty, Model G, with a stunning wide garden view at a very attractive price. Fully north-facing. The villa is a 4/3 mo"
Villa,"41,000,000",buy,N/A,"Allegria, Sheikh Zayed, Giza",660,6,6,N/A,N/A,https://www.bayut.eg/en/property/details-503424727.html,Exclusive One-Story Villa by Sodic in Allegria
Apartment,"8,150,000",buy,N/A,"The Hillage, Sheikh Zayed, Giza",132,2,3,0% Down Payment,"EGP 42,000 monthly / 10 years",https://www.bayut.eg/en/property/details-503424409.html,LAUNCH PRICE! OWN A FULLYFINISHED APARTMENT FOR SALE IN SHEIKH ZAYED WITH LIMITED OFFER.
Apartment,"4,130,000",buy,N/A,"Green Revolution Compound, Sheikh Zayed, Giza",108,2,2,"EGP 206,500",N/A,https://www.bayut.eg/en/property/details-503424351.html,only 200K DP PRIME LOCATION APT IN ZAYED OVER 10Y
Apartment,"10,000,000",buy,N/A,"Regent's Square, 5th Settlement, New Cairo, Cairo",120,2,2,"EGP 500,000","EGP 100,000 monthly / 8 years",https://www.bayut.eg/en/property/details-503424307.html,"For sale: 2-bedroom apartment, a great deal, with open landscape view, near delivery in a very prime location"
Villa,"14,000,000",buy,N/A,"O West Compound, 6th of October, Giza",215,4,3,N/A,N/A,https://www.bayut.eg/en/property/details-503423967.html,"Villa for sale due to payment difficulties. I am the direct owner. The villa is located in the well-known O West compound by Sawiris, behind Media Production City, near the Dahshur-Sheikh Zayed and 6th of October link."
Villa,"95,000,000",buy,N/A,"Marassi, Sidi Abdel Rahman, North Coast, Matruh",328,5,5,N/A,N/A,https://www.bayut.eg/en/property/details-503423892.html,For Sale Standalone Villa with Private Pool - Marassi Vento - first row Golf & lake
Apartment,"14,850,000",buy,N/A,"Mountain View Hyde Park Compound, 5th Settlement, New Cairo, Cairo",274,3,3,N/A,N/A,https://www.bayut.eg/en/property/details-503423680.html,For Sale Largest Apartment Model Below Market Price Prime Location Overlooking pool and landscape Ready to Move In Mountain View Hyde Park New Cairo
Chalet,"16,700,000",buy,N/A,"Hacienda Waters, North Coast, Matruh",114,2,2,"EGP 9,000,000",N/A,https://www.bayut.eg/en/property/details-503423514.html,"Distinctive chalet, 114 square meters, first floor, direct sea view in Hacienda Waters."
Apartment,"9,950,000",buy,N/A,"Saba Pasha, Alexandria",203,3,2,N/A,N/A,https://www.bayut.eg/en/property/details-503423258.html,Apartment for Sale in Saba Pasha
Apartment,"7,887,490",buy,N/A,"Madinaty, Cairo",141,3,2,"EGP 3,900,000",N/A,https://www.bayut.eg/en/property/details-503423140.html,"Apartment for sale in Madinaty B14, 140 square meters, fourth floor, steps to The spin."
Chalet,"21,300,000",buy,N/A,"Fouka Bay, North Coast, Matruh",175,3,3,"EGP 19,711,000",N/A,https://www.bayut.eg/en/property/details-503423125.html,"Chalet with Garden Fully Finished with Sea View for sale with installments in Fouka Bay, Tatweer Ras El Hekma, North Coast"
Apartment,"7,200,000",buy,N/A,"Rehab City, New Cairo, Cairo",122,3,2,N/A,N/A,https://www.bayut.eg/en/property/details-503422865.html,Apartment for sale in Al Rehab City
Chalet,"7,400,000",buy,N/A,"Marina 4, Alamein, North Coast, Matruh",125,2,2,N/A,N/A,https://www.bayut.eg/en/property/details-503422746.html,Golden opportunity in Marina 4 – Chalet for sale at the best price
Chalet,"5,700,000",buy,N/A,"Q Bay, North Coast, Matruh",75,1,2,"EGP 570,000",N/A,https://www.bayut.eg/en/property/details-503422706.html,"Opportunity for a prime north-facing chalet, fully finished with a panoramic sea view, for sale at an unbeatable price in the most prestigious resort"
Apartment,"1,700,000",buy,N/A,"Hadayek al-Ahram, Giza",102,2,1,N/A,N/A,https://www.bayut.eg/en/property/details-503422681.html,102 square meter apartment with a balcony equivalent to 120 square meters in Gardens of the Pyramids - Gate 4 - Area L
Villa,"15,000,000",buy,N/A,"Ras Al Hekma, North Coast, Matruh",280,5,4,N/A,N/A,https://www.bayut.eg/en/property/details-503422609.html,"Inspect and receive a fully finished villa with air conditioning, first line to the sea in the heart of Ras Al Hikmah, next to Direction White and Foka Bay."
Villa,"17,450,000",buy,N/A,"Noor City, New Capital City, Cairo",231,3,3,"EGP 4,500,000",N/A,https://www.bayut.eg/en/property/details-503382110.html,"Exclusive Q1 Villa in Noor City — Direct from Owner, Old reservation with a discount on the paid amount."
Townhouse,"14,901,825",buy,N/A,"The Median Compound, 5th Settlement, New Cairo, Cairo",250,4,4,"EGP 7,500,000",N/A,https://www.bayut.eg/en/property/details-503296375.html,Town House Middle For Sale With Lowest Down payment And Installments In Compound The Median Next To Taj City 1 Minute From Ring Road
Apartment,"6,500,000",buy,N/A,"Smoha, Alexandria",230,3,3,N/A,N/A,https://www.bayut.eg/en/property/details-503289946.html,Your dream apartment in smouha inside the high-end top House compound
Villa,"350,000,000",buy,N/A,"Marassi, Sidi Abdel Rahman, North Coast, Matruh",720,7,8,"EGP 100,000,000","EGP 2,600,000 monthly / 8 years",https://www.bayut.eg/en/property/details-503288917.html,Panoramic Sea View first row downpayment and installment ready to move villa for sale in Marassi north coast
Duplex,"17,500,000",buy,N/A,"El Banafseg 7, 1st Settlement, New Cairo, Cairo",650,5,7,N/A,N/A,https://www.bayut.eg/en/property/details-503286924.html,Triplex For Sale 650 SQM Fully Furnished In El Banafsig 7 New Cairo Own Now!
Duplex,"14,000,000",buy,N/A,"Hacienda Bay, Sidi Abdel Rahman, North Coast, Matruh",260,5,6,N/A,N/A,https://www.bayut.eg/en/property/details-503286836.html,Duplex For Sale 260 SQM Super Lux Ready To Move In Hacienda Bay Palm Hills North Coast
Chalet,"28,000,000",buy,N/A,"Almaza Bay, North Coast, Matruh",237,3,4,N/A,N/A,https://www.bayut.eg/en/property/details-503261932.html,Sea view Ready to move Fully finished & furnished chalet for sale in Almaza bay North coast
Villa,"68,000,000",buy,N/A,"Marassi, Sidi Abdel Rahman, North Coast, Matruh",395,6,5,N/A,N/A,https://www.bayut.eg/en/property/details-503244565.html,Villa direct lagoon and golf facing north fully furnished
Villa,"190,000,000",buy,N/A,"Marassi, Sidi Abdel Rahman, North Coast, Matruh",535,6,7,N/A,N/A,https://www.bayut.eg/en/property/details-503239610.html,Fist row villa Full Sea View With private pool for sale in Marassi Emaar North coast
Apartment,"5,000,000",buy,N/A,"Saba Pasha, Alexandria",160,3,2,N/A,N/A,https://www.bayut.eg/en/property/details-503196643.html,Saba_Pasha
Other Residential,"470,000",buy,N/A,"Hadayek October, Giza",22,2,1,N/A,N/A,https://www.bayut.eg/en/property/details-503185553.html,"Grave for sale, area of 22 square meters in October cemeteries, Fayoum road, entrance 5, very special."
Villa,"27,000,000",buy,N/A,"Madinaty, Cairo",346,3,4,"EGP 20,000,000",N/A,https://www.bayut.eg/en/property/details-503176280.html,"Twinhouse villa type: E3 for sale with installment in Madinaty, old reservation, immediate delivery"
Apartment,"6,465,340",buy,N/A,"Zed East Compound, 6th Settlement, New Cairo, Cairo",108,2,2,N/A,N/A,https://www.bayut.eg/en/property/details-503175579.html,Hotel apartment in Zed FC New Cairo Fully finished with ACs kitchen and parking Immediate Delivery with a very good price installments till 2031
Apartment,"4,320,000",buy,N/A,"Talala, New Heliopolis, Cairo",135,3,2,N/A,N/A,https://www.bayut.eg/en/property/details-503083206.html,"Apartment for sale, 3 rooms, super deluxe finishing, with a 64% discount in Talala Compound"
Chalet,"16,500,000",buy,N/A,"La Vista Ras El Hikma, Ras Al Hekma, North Coast, Matruh",150,3,2,N/A,N/A,https://www.bayut.eg/en/property/details-502958567.html,Ground Chalet For Sale Super Lux Ready To Move In La Vista Ras Hekma North Coast
Chalet,"10,700,000",buy,N/A,"Mountain View Ras Al Hekma, Ras Al Hekma, North Coast, Matruh",132,3,2,"EGP 9,500,000",N/A,https://www.bayut.eg/en/property/details-502573641.html,"For quick sale, the largest chalet area with a 132 m² garden and a 85 m² garden in Mountain View, Ras Al-Hikma, North Coast, in Escala Front View, ove"
Apartment,"8,000,000",buy,N/A,"Nasr City, Cairo",370,3,3,N/A,N/A,https://www.bayut.eg/en/property/details-205526015.html,"""Premium 3-Bathroom Apartment for Sale in Nasr City, 9th District, Special Finishing"""
Chalet,"8,500,000",buy,N/A,"Amwaj, Sidi Abdel Rahman, North Coast, Matruh",115,2,2,N/A,N/A,https://www.bayut.eg/en/property/details-503431176.html,Under market price chalet for sale seaview and pool view at amwaj north coast Sidi Abdelrahman
Apartment,"9,700,000",buy,N/A,"Madinaty, Cairo",200,3,3,N/A,N/A,https://www.bayut.eg/en/property/details-503426692.html,Apartment for sale great price wide garden view ready to move in typical floor clean company finishing first occupancy fully paid 200m in Madinaty B8
Villa,"48,000,000",buy,N/A,"Rehab City, New Cairo, Cairo",437,6,6,N/A,N/A,https://www.bayut.eg/en/property/details-503426633.html,Fully furnished Standalone villa great price ultra-super-lux finishing ready to move in Price negotiable Model Y in Al Rehab Villas - New Cairo
Villa,"50,880,000",buy,N/A,"Mountain View iCity Compound, 5th Settlement, New Cairo, Cairo",520,6,6,"EGP 508,800",N/A,https://www.bayut.eg/en/property/details-503426617.html,Immediate receipt with a 40% discount on a villa from Mountain View at the lowest price in the Fifth Settlement next to Taj City directly on the Suez Road.
Apartment,"1,350,000",buy,N/A,"Zahraa Madinat Nasr, Nasr City, Cairo",130,3,1,N/A,N/A,https://www.bayut.eg/en/property/details-503426610.html,"A great deal on a 130 sq m apartment for sale in Zahraa Madinat Nasr, Al-Ahali Buildings, with a super deluxe finish."
Villa,"29,995,868",buy,N/A,"Grand Valleys, New Capital City, Cairo",250,5,5,"EGP 299,958",N/A,https://www.bayut.eg/en/property/details-503426593.html,"No down payment, luxury villa ready for immediate delivery from Mountain View Villas, located along the extensions of Tahrir Street next to the government district."
Villa,"27,112,000",buy,N/A,"City Gate Compound, 5th Settlement, New Cairo, Cairo",220,3,3,0% Down Payment,N/A,https://www.bayut.eg/en/property/details-503426316.html,Premium corner town house high-end finishing in a very prime location direct on landscape over 10 years plan - In the heart of New cairo
Apartment,"5,200,000",buy,N/A,"The Village Compound, 5th Settlement, New Cairo, Cairo",88,1,1,N/A,N/A,https://www.bayut.eg/en/property/details-503426125.html,"luxury studio for sale in The Village Compound, Fifth Settlement, New Cairo."
Chalet,"11,000,000",buy,N/A,"D-Bay, North Coast, Matruh",96,2,1,"EGP 4,000,000",N/A,https://www.bayut.eg/en/property/details-503426013.html,"Distinctive chalet for sale in Dee Bay, North Coast"
Apartment,"7,500,000",buy,N/A,"Privado, Madinaty, Cairo",146,3,3,"EGP 7,000,000",N/A,https://www.bayut.eg/en/property/details-503425940.html,"Opportunity for quick sale, instant delivery of an apartment 146 m in Brevado, Madinaty"
Apartment,"5,600,000",buy,N/A,"Madinaty, Cairo",124,3,2,N/A,N/A,https://www.bayut.eg/en/property/details-503425841.html,"Apartment for sale, 124 sq m, prime view opposite South Park, at a commercial price. 3 bedrooms, 2 bathrooms, third floor, corner unit."
Apartment,"7,000,000",buy,N/A,"Madinaty, Cairo",109,3,2,0% Down Payment,N/A,https://www.bayut.eg/en/property/details-503425724.html,"Available for sale, a ground floor apartment with complete special finishes, first occupancy, near services and an excellent location."
Apartment,"14,300,000",buy,N/A,"Fifth Square Compound, 5th Settlement, New Cairo, Cairo",115,2,2,"EGP 3,575,000",N/A,https://www.bayut.eg/en/property/details-503425598.html,for sale apartment 115 sq m finished in Fifth Square Compound Al Marasem New Cairo Fifth Settlement 2 bedrooms ready to move in.
Villa,"38,000,000",buy,N/A,"Modon, Ras Al Hekma, North Coast, Matruh",250,4,3,N/A,N/A,https://www.bayut.eg/en/property/details-503425577.html,Direct on The Sea Fully Finished Luxury Villa For Sale in Modon Ras El Hekma - North Coast
Villa,"12,854,800",buy,N/A,"Al Burouj, Shorouk City, Cairo",196,3,3,N/A,N/A,https://www.bayut.eg/en/property/details-503425466.html,Fully Finished Luxury Villa for Sale in Al Buroj Compound - New Cairo
Villa,"19,940,000",buy,N/A,"Sodic East, New Heliopolis, Cairo",200,3,3,N/A,N/A,https://www.bayut.eg/en/property/details-503425399.html,Fully Finished Luxury Villa for Sale in Sodic East Compound - New Cairo
Villa,"27,000,000",buy,N/A,"City Gate Compound, 5th Settlement, New Cairo, Cairo",220,4,3,N/A,N/A,https://www.bayut.eg/en/property/details-503425196.html,With Golf View Luxury Villa With Special Price for Sale in City Gate -New Cairo
Apartment,"5,100,000",buy,N/A,"Noor City, New Capital City, Cairo",123,3,2,"EGP 2,500,000",N/A,https://www.bayut.eg/en/property/details-503425189.html,"Apartment for sale in Madinat Noor, 123 m, old reservation with the lowest total contract, garden view, very special location."
Apartment,"7,436,000",buy,N/A,"Mountain View iCity Compound, 5th Settlement, New Cairo, Cairo",170,3,3,"EGP 5,200,000",N/A,https://www.bayut.eg/en/property/details-503425067.html,"Apartment for sale in Mountain View iCity, New Cairo, 3 bedrooms, 160 sqm, in a prime location within the compound."
Villa,"36,890,000",buy,N/A,"Madinaty, Cairo",319,5,5,"EGP 15,000,000",N/A,https://www.bayut.eg/en/property/details-503424886.html,"Villa for sale C3, great deal, total price 36,900,000, installments over 11 years"
Apartment,"5,000,000",buy,N/A,"Rehab City, New Cairo, Cairo",92,2,1,N/A,N/A,https://www.bayut.eg/en/property/details-503424830.html,"92m apartment for sale in Al Rehab 2, Phase 9"
Villa,"50,000,000",buy,N/A,"Madinaty, Cairo",780,5,5,N/A,N/A,https://www.bayut.eg/en/property/details-503424807.html,"Standalone villa for sale in Madinaty with a swimming pool, offering a stunning wide garden view and high-quality finishing."
Townhouse,"13,600,000",buy,N/A,"La Vista City, New Capital City, Cairo",240,3,4,N/A,N/A,https://www.bayut.eg/en/property/details-503424805.html,Premium Twin House for Resale in La Vista City Compound Immediate Delivery Ready to Move In Lowest Price in the Market Classic Style
Chalet,"12,688,000",buy,N/A,"Naia Bay, Ras Al Hekma, North Coast, Matruh",115,2,2,N/A,N/A,https://www.bayut.eg/en/property/details-503424744.html,"Fully finished chalet with air conditioning, ready for immediate occupancy in Naya Bay, Ras El Hekma, near Hacienda West and Fouka Bay at kilometer 21"
Apartment,"8,900,000",buy,N/A,"EL Patio Riva, 6th Settlement, New Cairo, Cairo",128,2,2,"EGP 1,600,000",N/A,https://www.bayut.eg/en/property/details-503424725.html,"Resale 2-Bedroom, Prime Location, Without Over"
Chalet,"9,200,000",buy,N/A,"Mesca, Soma Bay, Red Sea",70,1,1,"EGP 460,000",N/A,https://www.bayut.eg/en/property/details-503424645.html,Last Chalet 1 Bed Double View (Sea and Golf) with Special Offer 20% Discount | Chalet for sale at Soma Bay | Chalet for sale at Red Sea
Apartment,"4,700,000",buy,N/A,"New Narges, 5th Settlement, New Cairo, Cairo",180,3,2,N/A,"EGP 90,000 monthly / 2 years",https://www.bayut.eg/en/property/details-503424500.html,180 sqm Apartment in New Narges E – Double View – Immediate Delivery – 4.7M Cash or Installments
Apartment,"2,757,000",buy,N/A,"Shorouk City, Cairo",202,3,2,N/A,N/A,https://www.bayut.eg/en/property/details-503424201.html,"202 sq m apartment for sale in El Shorouk, directly from the owner - immediate occupancy, near El Horreya."
Twin House,"15,000,000",buy,N/A,"Amwaj, Sidi Abdel Rahman, North Coast, Matruh",265,5,5,N/A,N/A,https://www.bayut.eg/en/property/details-503424188.html,"During the receipt of a twin villa with a private swimming pool in Amwaj, North Coast - first row from the sea."
Apartment,"7,700,000",buy,N/A,"Nasr City, Cairo",320,6,4,N/A,N/A,https://www.bayut.eg/en/property/details-503424131.html,320 sqm apartment for sale in Nasr City on a main street
Chalet,"15,000,000",buy,N/A,"Marina 6, Alamein, North Coast, Matruh",85,1,1,"EGP 4,500,000","EGP 175,000 monthly / 5 years",https://www.bayut.eg/en/property/details-503424120.html,"One-bedroom apartment for sale, fully finished, furnished, and equipped with appliances. First row on the beach in Merkon, Alamein, North Coast."
Apartment,"4,000,000",buy,N/A,"Nyoum October Compound, 6th of October, Giza",96,2,2,N/A,N/A,https://www.bayut.eg/en/property/details-503423718.html,Apartment for Sale in Boulevard Area _ New October Compound
Villa,"55,000,000",buy,N/A,"Rehab City, New Cairo, Cairo",671,4,4,N/A,N/A,https://www.bayut.eg/en/property/details-503423636.html,Standalone villa for sale in Al-Rehab City Hills
Chalet,"16,000,000",buy,N/A,"June Sodic, Ras Al Hekma, North Coast, Matruh",110,2,2,"EGP 160,000",N/A,https://www.bayut.eg/en/property/details-503423607.html,"Chalet With a Panoramic View, Fully Finished, For Sale With Installments For 6 Years In June Sodic, Ras El Hekma, North Coast"
Apartment,"15,500,000",buy,N/A,"Sodic East, New Heliopolis, Cairo",156,3,2,N/A,N/A,https://www.bayut.eg/en/property/details-503423490.html,Fully Finished Apartment with ACs for Sale in Sodic Eastown New Cairo New Heliopolis
Apartment,"7,000,000",buy,N/A,"Rehab City, New Cairo, Cairo",108,2,2,N/A,N/A,https://www.bayut.eg/en/property/details-503423487.html,Apartment for sale in Al Rehab City
Apartment,"3,830,000",buy,N/A,"Upmount, R8, New Capital City, Cairo",115,2,2,"EGP 383,000","EGP 28,700 monthly / 10 years",https://www.bayut.eg/en/property/details-503423476.html,"A unique investment and housing opportunity in the heart of the administrative capital, with a prime location close to all services and main routes, with a 10% down payment and installments over 10 years."
Chalet,"10,500,000",buy,N/A,"Zomoroda, North Coast, Matruh",165,3,2,N/A,N/A,https://www.bayut.eg/en/property/details-503423088.html,Chalet for sale in Zomoroda North Coast – a real shot
Apartment,"6,210,000",buy,N/A,"Sahl Hasheesh, Red Sea",60,N/A,1,N/A,N/A,https://www.bayut.eg/en/property/details-503422835.html,Smart Studio Living | Sahl Hasheesh
Chalet,"29,000,000",buy,N/A,"Ramla, North Coast, Matruh",130,2,2,"EGP 1,450,000",N/A,https://www.bayut.eg/en/property/details-503414465.html,Modern 2B Chalet | 130sqm Fully Finished | Full Sea View & Crystal Lagoon Access Best Price in North Coast - Ras el hekma
